game_id,language,n_rounds_is_known,max_rounds,played_rounds,agents_communicate,agent1_name,agent1_llm,agent1_personality,agent1_knows_opponent_with_prob,agent1_strategies,agent1_scores,agent1_messages,agent2_name,agent2_llm,agent2_personality,agent2_knows_opponent_with_prob,agent2_strategies,agent2_scores,agent2_messages,agent3_name,agent3_llm,agent3_personality,agent3_knows_opponent_with_prob,agent3_strategies,agent3_scores,agent3_messages
game_0,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 6.666666666666667, 0.0]",[],agent2,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, -3.333333333333333, 0.0]",[],agent3,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 6.666666666666667, 0.0]",[]
game_1,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[3.333333333333334, 3.333333333333334, 0.0, -3.333333333333333, 3.333333333333334, -3.333333333333333, -3.333333333333333, -3.333333333333333, -3.333333333333333, 0.0]",[],agent2,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, 3.333333333333334, 0.0, 6.666666666666667, 3.333333333333334, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 0.0]",[],agent3,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 13.333333333333334, 0.0, 6.666666666666667, 13.333333333333334, 6.666666666666667, 6.666666666666667, 6.666666666666667, 6.666666666666667, 0.0]",[]
game_2,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 3.333333333333334, 10.0, 3.333333333333334, 6.666666666666667]",[],agent2,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 13.333333333333334, 10.0, 3.333333333333334, -3.333333333333333]",[],agent3,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 13.333333333333334, 3.333333333333334, 10.0, 13.333333333333334, 6.666666666666667]",[]
game_3,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionA', 'OptionA']","[3.333333333333334, 3.333333333333334, 3.333333333333334, 0.0, 6.666666666666667, 6.666666666666667, 6.666666666666667, 0.0, -3.333333333333333, -3.333333333333333]",[],agent2,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 13.333333333333334, 13.333333333333334, 0.0, 6.666666666666667, 6.666666666666667, 6.666666666666667, 0.0, 6.666666666666667, 6.666666666666667]",[],agent3,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, 3.333333333333334, 3.333333333333334, 0.0, -3.333333333333333, -3.333333333333333, -3.333333333333333, 0.0, 6.666666666666667, 6.666666666666667]",[]
game_4,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[-3.333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, -3.333333333333333, 0.0, 0.0, 0.0]",[],agent2,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[6.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[],agent3,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[6.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[]
game_5,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[10.0, 3.333333333333334, 3.333333333333334, 0.0, -3.333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]",[],agent2,Claude35Haiku,ích kỷ,0,"['OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[10.0, 13.333333333333334, 13.333333333333334, 0.0, 6.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0]",[],agent3,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[10.0, 3.333333333333334, 3.333333333333334, 0.0, 6.666666666666667, 0.0, 0.0, 0.0, 0.0, 0.0]",[]
game_6,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 6.666666666666667, 13.333333333333334, 6.666666666666667]",[],agent2,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 13.333333333333334, -3.333333333333333, 3.333333333333334, 6.666666666666667]",[],agent3,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionA']","[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 6.666666666666667, 3.333333333333334, -3.333333333333333]",[]
game_7,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, -3.333333333333333, 3.333333333333334, 0.0, -3.333333333333333, 0.0, -3.333333333333333, 0.0, 0.0, 0.0]",[],agent2,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, 6.666666666666667, 3.333333333333334, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[],agent3,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 6.666666666666667, 13.333333333333334, 0.0, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[]
game_8,vn,True,10,10,False,agent1,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 3.333333333333334, -3.333333333333333, -3.333333333333333, 0.0]",[],agent2,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 3.333333333333334, 13.333333333333334, 6.666666666666667, 6.666666666666667, 0.0]",[],agent3,Claude35Haiku,chiến lược,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[10.0, 10.0, 10.0, 10.0, 10.0, 13.333333333333334, 3.333333333333334, 6.666666666666667, 6.666666666666667, 0.0]",[]
game_9,vn,True,10,10,False,agent1,Claude35Haiku,ích kỷ,0,"['OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[13.333333333333334, 13.333333333333334, 13.333333333333334, 6.666666666666667, 6.666666666666667, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[],agent2,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionA', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, 3.333333333333334, 3.333333333333334, 6.666666666666667, 6.666666666666667, 0.0, -3.333333333333333, 0.0, 0.0, 0.0]",[],agent3,Claude35Haiku,hợp tác,0,"['OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionA', 'OptionB', 'OptionB', 'OptionB', 'OptionB', 'OptionB']","[3.333333333333334, 3.333333333333334, 3.333333333333334, -3.333333333333333, -3.333333333333333, 0.0, 6.666666666666667, 0.0, 0.0, 0.0]",[]
